,lat,lon,kelp_biomass_kg,kelp_biomass_kg_past
0,37.4727134298096,-122.482145638949,0.0,635.0
1,37.4721711420691,-122.481810105228,0.0,332.0
2,37.4724415422528,-122.481808238453,0.0,693.0
3,37.4727119424239,-122.481806371652,0.0,317.0
4,37.4721696537384,-122.481470840401,0.0,273.0
5,37.4724400539075,-122.481468972403,0.0,317.0
6,37.1161825977452,-122.347823887407,0.0,391.0
7,37.1012406819032,-122.335460381392,125.0,0.0
8,37.1135991824888,-122.321170424863,113.0,0.0
9,37.1138695911526,-122.321168010905,160.0,0.0
10,37.113056431455,-122.320837606537,0.0,347.0
11,37.1141380660596,-122.320827945966,399.0,0.0
12,37.114136131354,-122.320490295051,864.0,0.0
13,37.1144065399551,-122.320487878627,1011.0,0.0
14,37.1146769485436,-122.320485462171,893.0,0.0
15,37.1149473571197,-122.320483045682,746.0,0.0
16,37.1141341956869,-122.320152644167,750.0,0.0
17,37.1144046042691,-122.320150226543,1478.0,0.0
18,37.1146750128387,-122.320147808886,1584.0,0.0
19,37.1149454213959,-122.320145391197,1290.0,0.0
20,37.1116985814262,-122.319836761286,430.0,0.0
21,37.111968990102,-122.319834342751,524.0,0.0
22,37.1122393987653,-122.319831924185,501.0,0.0
23,37.112509807416,-122.319829505586,512.0,0.0
24,37.1127802160543,-122.319827086955,418.0,0.0
25,37.1138618504825,-122.319817412108,230.0,0.0
26,37.1141322590583,-122.319814993316,1203.0,0.0
27,37.1144026676216,-122.319812574491,1091.0,0.0
28,37.1146730761724,-122.319810155634,1537.0,0.0
29,37.1149434847107,-122.319807736744,1407.0,0.0
30,37.1114262353367,-122.319501540973,371.0,0.0
31,37.1116966440061,-122.31949912127,418.0,0.0
32,37.111967052663,-122.319496701536,454.0,0.0
33,37.11331909576,-122.319484602379,583.0,0.0
34,37.1135895043419,-122.31948218245,595.0,0.0
35,37.1138599129114,-122.31947976249,512.0,0.0
36,37.1141303214683,-122.319477342497,582.0,0.0
37,37.1144007300127,-122.319474922471,729.0,0.0
38,37.1146711385446,-122.319472502414,743.0,0.0
39,37.114941547064,-122.319470082324,1002.0,0.0
40,37.1130467486897,-122.31914937629,442.0,0.0
41,37.1133171572652,-122.319146955193,548.0,0.0
42,37.1135875658282,-122.319144534064,172.0,0.0
43,37.1124806443167,-122.31476485474,0.0,450.0
44,37.1089575222069,-122.313446018152,0.0,347.0
45,37.1092279306473,-122.313443577137,0.0,494.0
46,37.1094983390752,-122.31344113609,0.0,552.0
47,37.1097687474905,-122.313438695009,0.0,420.0
48,37.1119320143634,-122.313419165194,0.0,361.0
49,37.1089555667112,-122.313108390756,0.0,361.0
50,37.1092259751325,-122.313105948541,0.0,479.0
51,37.1094963835413,-122.313103506293,0.0,508.0
52,37.1097667919376,-122.313101064013,0.0,582.0
53,37.1100372003214,-122.313098621699,0.0,435.0
54,37.1103076086927,-122.313096179354,0.0,230.0
55,37.111930058658,-122.313081524595,0.0,259.0
56,37.1130116917182,-122.313071754104,0.0,277.0
57,37.113282099952,-122.3130693114,0.0,313.0
58,37.1135525081733,-122.313066868663,0.0,391.0
59,37.1092240186564,-122.312768319977,0.0,303.0
60,37.1094944270461,-122.312765876529,0.0,288.0
61,37.1100352437881,-122.312760989535,0.0,336.0
62,37.1103056521403,-122.312758545989,0.0,477.0
63,37.1130097349751,-122.312734108736,0.0,313.0
64,37.1132801431898,-122.312731664831,0.0,383.0
65,37.113550551392,-122.312729220894,0.0,303.0
66,37.1103036946266,-122.312420912657,0.0,230.0
67,37.1105741029473,-122.312418467878,0.0,348.0
68,37.1108445112554,-122.312416023067,0.0,376.0
69,37.111114919551,-122.312413578223,0.0,347.0
70,37.1116557361048,-122.312408688437,0.0,254.0
71,37.111926144363,-122.312406243495,0.0,405.0
72,37.1121965526086,-122.31240379852,0.0,313.0
73,37.1124669608418,-122.312401353513,0.0,288.0
74,37.1132781854662,-122.312394018295,0.0,288.0
75,37.1135485936493,-122.312391573157,0.0,361.0
76,37.1103017361516,-122.312083279358,0.0,405.0
77,37.1105721444531,-122.312080833379,0.0,324.0
78,37.1108425527422,-122.312078387367,0.0,552.0
79,37.1111129610187,-122.312075941323,0.0,552.0
80,37.1113833692828,-122.312073495246,0.0,435.0
81,37.1116537775343,-122.312071049136,0.0,313.0
82,37.1119241857734,-122.312068602994,0.0,391.0
83,37.1121945939999,-122.312066156819,0.0,464.0
84,37.112465002214,-122.312063710611,0.0,450.0
85,37.1127354104155,-122.312061264371,0.0,435.0
86,37.1130058186046,-122.312058818098,0.0,435.0
87,37.1132762267811,-122.312056371792,0.0,273.0
88,37.1135466349452,-122.312053925454,0.0,361.0
89,37.1105701849977,-122.311743198912,0.0,336.0
90,37.1108405932676,-122.3117407517,0.0,494.0
91,37.1111110015251,-122.311738304455,0.0,494.0
92,37.11138140977,-122.311735857178,0.0,420.0
93,37.1116518180025,-122.311733409868,0.0,254.0
94,37.1127334508073,-122.311723620301,0.0,273.0
95,37.1130038589772,-122.311721172828,0.0,391.0
96,37.1132742671346,-122.311718725321,0.0,347.0
97,37.1105682245809,-122.311405564477,0.0,259.0
98,37.1108386328317,-122.311403116065,0.0,347.0
99,37.11110904107,-122.31140066762,0.0,332.0
100,37.1121571977698,-122.30565097071,0.0,273.0
101,37.1099919568411,-122.305333090199,0.0,361.0
102,37.1118848120904,-122.305315799847,0.0,229.0
103,37.1121552199332,-122.305313329665,0.0,317.0
104,37.1124256277634,-122.30531085945,0.0,273.0
105,37.1097195702739,-122.304997929908,0.0,229.0
